title,url,current_price,Noise Cancellation,Water Resistant,Charging Interface,Bluetooth Version,Microphone,Capacity for buds,Capacity for Case
Screen TWS Earbud WP-120,https://priceoye.pk/wireless-earbuds/assorted/screen-tws-earbud-wp-120,5999,No,No,Type-C,V5.4,Yes,40mAh,No
TWS STEREO EARBUDS WP-125,https://priceoye.pk/wireless-earbuds/assorted/tws-stereo-earbuds-wp-125,4699,No,No,Type-C,V5.3,Yes,40mAh,No
Soundpeats Wireless Earbuds True Air 3,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-wirless-earbuds-true-air-3,9299,No,Yes,Type-C,V5.2,Yes,30*2 mAh,220mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Oraimo BoomPop 2 ENC Over Ear Wireless Headphones OHP-610,https://priceoye.pk/wireless-earbuds/oraimo/oraimo-boompop-2-enc-over-ear-wireless-headphones-ohp-610,5699,Yes,No,Type-C,V5.2,Yes,No,500mAh
1HORA Bean-Type Transparent Window TWS Earbuds,https://priceoye.pk/wireless-earbuds/1hora/1hora-bean-type-transparent-window-tws-earbuds,2999,No,No,Type-C,V5.3,Yes,30mAh,300mAh
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Sony WH-ULT-900N Wireless Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-ult-900n-wireless-headphones,43999,Yes,No,Type-C,V5.2,Yes,No,No
Papada A2 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/papada-a2-tws-wireless-earbuds,2399,No,Yes,Type-C,V5.3,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Yolo Yopod Ace Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod-ace-bluetooth-earbuds,3199,Yes,Yes,Type-C,V5.4,Yes,No,No
Airox BT009 Wireless Bluetooth Headset,https://priceoye.pk/wireless-earbuds/airox/airox-bt009-wireless-bluetooth-headset,1299,Yes,No,No,v5.0,No,No,No
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
1HORA G161 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/1hora/1hora-g161-true-wireless-earbuds,3449,No,Yes,No,V5.3,Yes,No,No
FASTER S6-HD  Bluetooth  HEADPHONES,https://priceoye.pk/wireless-earbuds/faster/faster-s6-hd-bluetooth-headphones,4399,No,Yes,Type-C,V5.3,Yes,300mAh,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Soundpeats Space Pro Noise Cancelling Headphones,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-space-pro,11399,Yes,No,Type-C,V5.4,Yes,No,No
Earcuffs tws Wireless earphone,https://priceoye.pk/wireless-earbuds/assorted/earcuffs-tws-wireless-earphone,1599,No,Yes,No,V5.3,Yes,40mAh,500mAh
FASTER R12 PRO EARBUDS,https://priceoye.pk/wireless-earbuds/faster/faster-r12-pro-earbuds,3799,No,No,No,V5.1,Yes,No,No
Airox BT007 Wireless Bluetooth Headset,https://priceoye.pk/wireless-earbuds/airox/airox-bt007-wireless-bluetooth-headset,1299,No,No,No,v5.0,No,30 mAh,No
Marshall Major V Headphones,https://priceoye.pk/wireless-earbuds/marshall/marshall-major-v-headphones,42499,No,No,Wireless Charging,V5.3,Yes,No,No
OnePlus Nord Buds 3 Pro,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-nord-buds-3-pro,12899,Yes,Yes,Type-C,V5.4,No,58mAh,440mAh
Soundpeats T3 Pro ANC Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-t3-pro-bluetooth-earbuds,3599,Yes,Yes,Type-C,V5.4,Yes,No,No
Mars MB-14 Memory Card Supported Wireless Headset With LCD,https://priceoye.pk/wireless-earbuds/mars/mars-mb-14-memory-card-supported-wireless-headset-with-lcd,1699,No,No,Type-C,V5.0,Yes,30 mAh,No
Westpoint WP-200 Wireless Headphones,https://priceoye.pk/wireless-earbuds/westpoint/westpoint-wp-200-wireless-headphones,5799,Yes,No,Type-C,V5.3,Yes,400mAh,No
Airox Earbuds 001,https://priceoye.pk/wireless-earbuds/airox/airox-earbuds-001,2399,No,Yes,Type-C,V5.0,Yes,30 mAh,No
Haylou Mori Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/haylou/haylou-mori-pro-wireless-earbuds,5299,Yes,Yes,Type-C,V5.4,Yes,35mAh,400mAh
Yolo YoPod PRO True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod-pro-true-wireless-earbuds,3499,No,Yes,Type-C,V5.3,No,30 mAh,No
FASTER R18 OWS AIRVIBE ENC,https://priceoye.pk/wireless-earbuds/faster/faster-r18-ows-airvibe-enc,5799,Yes,Yes,No,V5.3,Yes,60mAh,400mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
DX-09 RGB Auricular Gaming Earphone,https://priceoye.pk/wireless-earbuds/assorted/dx-09-rgb-auricular-gaming-earphone,1899,No,Yes,No,V5.3,Yes,40mAh,1200mAh
OnePlus Nord Buds 2 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-nord-buds-2-true-wireless-earbuds,11799,Yes,Yes,Type-C,V5.3,No,30 mAh,No
Skullcandy Dime 2 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/skullcandy/skullcandy-dime-2-wireless-earbuds,6999,No,Yes,No,V5.2,Yes,No,No
YOLO YoPod2 EarBuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod2-earbuds,2949,Yes,Yes,No,V5.2,No,No,No
1HORA True Wireless Earphones F25 (DHZN),https://priceoye.pk/wireless-earbuds/1hora/1hora-true-wireless-earphones-f25-dhzn,3199,No,No,No,V5.3,Yes,No,No
Huawei Freebuds Se 2,https://priceoye.pk/wireless-earbuds/huawei/huawei-freebuds-se-2,12499,No,No,No,V5.3,Yes,No,No
DUDAO U2N 2nd Gen TWS Earphones,https://priceoye.pk/wireless-earbuds/dudao/dudao-u2n-2nd-gen-tws-earphones,2799,Yes,Yes,Type-C,V5.3,Yes,30 mAh,No
A9 PRO Tws in-Ear Earbuds Anc Wireless Earphones,https://priceoye.pk/wireless-earbuds/assorted/a9-pro-tws-in-ear-earbuds-anc-wireless-earphones,1999,Yes,Yes,No,V5.3,No,30 mAh,No
Anker Soundcore AeroFit Open-Ear Buds,https://priceoye.pk/wireless-earbuds/anker/anker-aerofit-open-ear-comfort-listen-safe-and-sound,22999,No,Yes,Type-C,V5.3,Yes,No,No
Skullcandy Rail Wireless Earbuds,https://priceoye.pk/wireless-earbuds/skullcandy/skullcandy-rail-wireless-earbuds,17999,Yes,Yes,No,V5.2,Yes,No,No
SoundPEATS Space Hybrid Active Noise Cancelling Headphones,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-space-hybrid-active-noise-cancelling-headphones,11279,Yes,No,Type-C,V5.3,No,30 mAh,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Zero Gravity Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-gravity-earbuds,3449,Yes,Yes,Type-C,V5.3,Yes,40mAh,350mAh
F40 TWS Wireless Transparent Earbuds,https://priceoye.pk/wireless-earbuds/assorted/f40-tws-wireless-transparent-earbuds,1299,Yes,No,Type-C,V5.3,Yes,No,300mAh
HAYLOU X1 2023 True Wireless Earphones,https://priceoye.pk/wireless-earbuds/haylou/haylou-x1-2023-true-wireless-earphone,4199,Yes,Yes,Type-C,v5.3,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Haino Teko P5 Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/haino-teko/haino-teko-p5-bluetooth-earbuds,1699,Yes,Yes,Lightning,V5.3,Yes,30mAh,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Skullcandy Smokin Earbuds,https://priceoye.pk/wireless-earbuds/skullcandy/skullcandy-smokin-earbuds,7999,No,Yes,Type-C,V5.2,Yes,No,No
Faster Bone Conduction Bluetooth - AS18,https://priceoye.pk/wireless-earbuds/faster/faster-bone-conduction-bluetooth-as18,7499,No,Yes,No,V5.3,No,30 mAh,No
SoundPeats ClearPods EarBuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-clearpods-earbuds,5999,Yes,No,No,V5.3,No,No,No
M22 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m22-tws-wireless-earbuds,1399,Yes,No,Type-C,V5.3,Yes,30mAh,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Outstanding Audio Performance,https://priceoye.pk/wireless-earbuds/assorted/g36-earbuds-with-power-bank,1899,No,No,No,V5.3,Yes,No,No
Air 13 Pro TWS Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air-13-pro-tws-bluetooth-earbuds,999,No,Yes,No,V5.3,Yes,No,No
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Joyroom Bluetooth Wireless Headphone (JR-HL1),https://priceoye.pk/wireless-earbuds/joyroom/joyroom-bluetooth-wireless-headphone-jr-hl1,6349,No,No,No,V5.1,Yes,300mAh,No
No delay in games,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-xt90-true-wireless-earbuds,2299,No,No,No,V5.0,Yes,No,No
JBL Tune 245 NC Wireless Earbuds,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-245-nc-wireless-earbuds,14499,Yes,Yes,Type-C,V5.3,Yes,No,No
M88 Plus Tws Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m88-plus-tws-earbuds,1399,No,No,No,V5.2,Dual,No,No
Haylou X1 Neo Earbuds,https://priceoye.pk/wireless-earbuds/haylou/haylou-x1-neo-earbuds,3149,No,No,Type-C,v5.3,Yes,30*2mAh,310mAh
Dany Airdots 105 Wireless Earbud,https://priceoye.pk/wireless-earbuds/dany/dany-airdots-105-wireless-earbud,3849,No,No,No,v5.3,Yes,No,No
Professional tuning,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-true-wireless-earphones-jr-tl2,4799,No,No,No,V5.0,Yes,No,No
Bikers Design,https://priceoye.pk/wireless-earbuds/assorted/bluetooth-bone-conduction-earbuds-v18,3199,No,No,No,V5.2,Yes,No,No
Realme Buds Q2s,https://priceoye.pk/wireless-earbuds/realme/realme-buds-q2s,6649,Yes,Yes,No,V5.2,Yes,No,No
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Experience Crisp and Full-bodied Audio,https://priceoye.pk/wireless-earbuds/samsung/samsung-galaxy-buds-2-pro,26499,Yes,Yes,Type-C,V5.3,Yes,61 mAh,515 mAh
Airox Energy Booster Wireless Neck Band NB05,https://priceoye.pk/wireless-earbuds/airox/airox-energy-booster-wireless-neck-band-nb05,1699,No,Yes,No,V5.0,Yes,No,No
HOTTU Neckband (NB11),https://priceoye.pk/wireless-earbuds/hottu/hottu-neckband-nb11,2049,No,Yes,Type-C,v5.3,No,No,300mAh
Audionic Airbud 590 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-590-wireless-earbuds,3989,Yes,Yes,Type-C,v5.3,Yes,30 mAh,480 mAh
Joyroom Magnetic Neck Sports Bluetooth (JR-DY02),https://priceoye.pk/wireless-earbuds/joyroom/joyroom-magnetic-neck-sports-bluetooth-jr-dy02,3899,No,Yes,No,V5.0,Yes,105 mAh,No
Airox Energy Pro Bluetooth Neck Band NB04,https://priceoye.pk/wireless-earbuds/airox/airox-energy-pro-bluetooth-neck-band-nb04,1549,No,No,No,V5.0,Yes,No,No
Nokia Pro True Wireless Earphones P3802A,https://priceoye.pk/wireless-earbuds/nokia/nokia-pro-true-wireless-earphones-p3802a,7299,Yes,Yes,Type-C,V5.1,Yes,30 mAh,No
Bluks BX-502 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluk-s-bx-502-wireless-earbuds,2149,Yes,Yes,Type-C,V5.3,Yes,35mAh,380mAh
Redmi Buds 4 Active,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-4-active,3999,Yes,Yes,Type-C,v5.3,Yes,34*2mAh,440mAh
Light like a breath,https://priceoye.pk/wireless-earbuds/qcy/qcy-t17-wireless-earbuds,3999,No,No,No,V5.1,Yes,No,No
Itel Wireless Neckband N35,https://priceoye.pk/wireless-earbuds/itel/itel-wireless-neckband-n35,2099,No,Yes,Micro-USB,V5.0,Yes,No,No
Enhance Your Audio Experience,https://priceoye.pk/wireless-earbuds/assorted/m23-tws-wireless-bluetooth-earbuds,2299,No,No,No,v5.1,Yes,No,No
Sony Wireless Noise Cancelling Headphones WH-1000XM4,https://priceoye.pk/wireless-earbuds/sony/sony-wireless-noise-cancelling-headphones-wh-1000xm4,61999,Yes,No,No,V5.0,No,No,No
M36 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m36-tws-wireless-earbuds,1199,No,Yes,Type-C,V5.2,Yes,No,No
New benchmark in sleek design,https://priceoye.pk/wireless-earbuds/assorted/m32-tws-wireless-bluetooth-earbuds,1249,No,Yes,Type-C,v5.1,Yes,60MAH,200MAH
Soundpeats Air 4 Lite Wireless Earphones,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-air4-lite-wireless-earphones,8699,Yes,No,Type-C,v5.3,Yes,30 mAh,No
Baseus Encok W05 Lite Earbuds,https://priceoye.pk/wireless-earbuds/baseus/baseus-encok-w05-lite-earbuds,3699,No,Yes,Type-C,v5.2,Yes,No,400mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Forget about compatibility issues,https://priceoye.pk/wireless-earbuds/assorted/m18-true-wireless-earbuds,1999,No,No,No,V5.1,Yes,No,No
M11 TWS Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m11-tws-wireless-bluetooth-earbuds,1799,No,Yes,Type-C,v5.1,Yes,No,No
Airdopes 141 Wireless Earbud,https://priceoye.pk/wireless-earbuds/assorted/airdopes-141-wireless-earbud,3749,No,No,No,V5.0,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Ears yearn for this,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-lp10-tws-wireless-earbuds,3599,No,No,No,V5.2,Yes,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Infinix XE30S Wireless Earbuds,https://priceoye.pk/wireless-earbuds/infinix/infinix-xe30s-wireless-earbuds,6399,Yes,Yes,Type-C,V5.3,Yes,40mAh,400mAh
Earbuds which fits ear,https://priceoye.pk/wireless-earbuds/assorted/interlink-earphone-pro-wireless-earbuds,4299,No,No,No,V5.0,Yes,No,No
M66 TWS Gaming Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m66-tws-gaming-wireless-earbuds,1199,No,No,No,V5.1,Yes,No,No
Good transmission power,https://priceoye.pk/wireless-earbuds/ansty/ansty-sports-wireless-neckband-m-04,2649,No,No,No,V5.0,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Xiaomi Air 3 SE,https://priceoye.pk/wireless-earbuds/xiaomi/xiaomi-air-3-se,4299,Yes,No,Type-C,v5.3,Yes,No,No
RoyalX RBT-500 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/royalx/royalx-rbt-500-wireless-earbuds,3399,No,No,Type-C,V5.2,Yes,No,No
P3 Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/p3-wireless-tws-earbuds,1449,No,Yes,Type-C,V5.1,Yes,32mAh,280mAh
Joyroom TWS Wireless Earbuds (T03s),https://priceoye.pk/wireless-earbuds/joyroom/joyroom-t03s-tws-wireless-earbuds,5799,No,No,No,V5.0,Yes,45mAh,350mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Anker Soundcore Life Q35 Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-life-q35-headphones,22999,No,No,No,No,Yes,No,No
BMC 20 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/bmc-20-tws-wireless-earbuds,2099,Yes,Yes,Type-C,V5.0,Yes,No,No
T68 Pro Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/t68-pro-wireless-tws-earbuds,1649,Yes,Yes,Type-C,V5.3,Yes,40mAh,500mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Beats Fit Pro True Wireless Noise Cancelling Earbuds,https://priceoye.pk/wireless-earbuds/beats/beats-fit-pro-true-wireless-noise-cancelling-earbuds,33499,No,No,No,V5.1,Yes,No,No
"Rich Bass, Clean Mids, and Vivid Highs",https://priceoye.pk/wireless-earbuds/xiaomi/mi-buds-3-pro,7799,No,No,No,V5.2,Yes,No,No
Haino Teko Air 3 Wireless Earphones,https://priceoye.pk/wireless-earbuds/haino-teko/haino-teko-air-3,2399,Yes,No,No,V5.0,Yes,No,No
Powerful chip Elagent Design,https://priceoye.pk/wireless-earbuds/haylou/haylou-gt7-true-wireless-earbuds,4149,No,No,No,V5.2,Yes,No,No
JBL Tune 670NC Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-670nc-wireless-headphones,18799,Yes,No,Type-C,V5.3,Yes,30 mAh,No
Ronin Wireless Mini POD (R-590),https://priceoye.pk/wireless-earbuds/ronin/ronin-wireless-earpods-r-590,3295,No,No,No,V5.0,Yes,30 mAh,200mAh
Joyroom JR-OH1 Wireless Bluetooth,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-jr-oh1-wireless-bluetooth,4299,Yes,No,No,V5.0,Yes,300MAH,No
Version 5.0,https://priceoye.pk/wireless-earbuds/audionic/audionic-bluetooth-neckband-a800,2399,No,No,No,V5.0,Yes,No,No
Upgraded chip greater performance,https://priceoye.pk/wireless-earbuds/assorted/r05-tws-wireless-earbuds,2499,No,No,No,V5.2,yes,No,No
XO G17 ANC+ENC Noise Canceling Wireless Earbuds,https://priceoye.pk/wireless-earbuds/xo/xo-g17-anc-enc-noise-canceling-wireless-earbuds,4149,Yes,Yes,Type-C,V5.3,Yes,35 mAh,300mAh
Baseus Encok True Wireless Earphones (WM01),https://priceoye.pk/wireless-earbuds/baseus/baseus-encok-true-wireless-earphones-wm01,4099,Yes,No,Type-C,v5.3,Yes,40*2mAh,300mAh
Exceptional sound and intelligent features,https://priceoye.pk/wireless-earbuds/samsung/galaxy-buds-2,18499,Yes,No,Type-C,V5.2,Yes,No,472 mAh
Yolo YoPod Ture Wireless Earbuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod-ture-wireless-earbuds,3599,No,Yes,Type-C,V5.0,Yes,No,No
Faster Wireless Gaming Earbuds (TG300),https://priceoye.pk/wireless-earbuds/faster/faster-wireless-gaming-e-sports-neckband-tg300,5199,Yes,Yes,No,V5.1,Yes,25mAh,230 mAh
JBL Tune 130NC TWS True Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-130nc-tws-true-wireless-headphones,15999,Yes,Yes,Type-C,V5.0,Yes,70 mAh,No
MS-771 Wireless Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/assorted/ms-771-wireless-bluetooth-headphones,1799,Yes,Yes,Type-C,V5.0,No,No,No
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Live-770 Wireless Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/assorted/live-770-wireless-bluetooth-headphones,2599,No,No,Type-C,V5.3,No,No,No
Royalx RBT-200 Airpods Pro Earbuds,https://priceoye.pk/wireless-earbuds/royalx/royalx-rbt-200-airpods-pro-earbuds,2299,No,No,Type-C,V5.0,Yes,45mAh,360mAh
JLab JBuds True Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/jlab-jbuds-true-wireless-bluetooth-earbuds,1799,No,Yes,Type-C,V5.0,Yes,No,No
JBL Tune 760NC Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-760nc-wireless-headphones,17999,Yes,No,Type-C,V5.0,Yes,610 mAh,No
Soundpeats Sonic Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-sonic-pro-wireless-earbuds,10899,No,Yes,Type-C,V5.2,Yes,70mAh*2,400 mAh
Better area coverage,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-airdots-2,2799,No,No,No,V5.0,Yes,No,No
JBL Tune 510BT Wireless Headphone,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-510,9899,No,No,Type-C,v5.0,Yes,30 mAh,No
Lenovo LP5 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-lp5-tws-wireless-earbuds,3099,Yes,No,Type-C,V5.0,Yes,30 mAh,No
Lenovo Monster Airmars XKT09,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-monster-airmars-xkt09,4099,No,Yes,No,V5.2,Yes,30*2 mAh,300mAh
Realme Buds Air Neo,https://priceoye.pk/wireless-earbuds/realme/realme-buds-air-neo,7499,No,No,No,V5.0,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Infinix XE20 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/infinix/infinix-xe-20-wireless-earbuds,1999,No,Yes,Type-C,v5.0,Yes,No,2000mAh
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Realme Buds Air 2 Neo,https://priceoye.pk/wireless-earbuds/realme/realme-air-2-neo-wireless-earbuds,4199,Yes,Yes,Type-C,v5.2,Yes,40*2mAh,400mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Ansty B06 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/ansty/ansty-b06-wireless-earbuds,3349,No,No,No,V5.1,Yes,No,No
EarFun Air Mini 2 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/earfun/earfun-air-mini-2-wireless-earbuds,7199,No,Yes,No,V5.0,Yes,No,No
Anker Soundcore Liberty 4 Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-liberty-4-earbuds,24799,No,Yes,Type-C,V5.1,Yes,No,No
Ronin R-290 Mini Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-290-mini-14-earbuds,3899,No,No,Type-C,v5.3,Yes,No,260mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Ronin R-4400 Black Wolve Wireless Headsets,https://priceoye.pk/wireless-earbuds/ronin/r-4400-black-wolve-wireless-headsets,3799,No,No,No,v5.1,No,No,500mAh
Anker Soundcore AeroFit Pro Open-Ear Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-aerofit-pro-open-ear-headphones,41499,Yes,Yes,No,V5.3,Yes,No,No
HOTTU Neckband (NB12),https://priceoye.pk/wireless-earbuds/hottu/hottu-neckband-nb12,2299,Yes,No,No,v5.0,Yes,No,560mAh
Soundpeats RunFree Sports Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-runfree-sports-bluetooth-headphones,8799,No,No,No,V5.3,Yes,No,No
Soundcore Life P3 Noise Cancelling Earbuds,https://priceoye.pk/wireless-earbuds/anker/soundcore-life-p3-noise-cancelling-earbuds,17999,Yes,Yes,No,V5.0,Yes,63 mAh,800 mAh
F9 Pro2 Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/f9-pro2-earbuds-bluetooth,1399,No,No,No,V5.0,Yes,No,No
Redmi Buds 4 Lite,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-4-lite,3949,No,Yes,No,v5.3,Yes,35*2mAh,320mAh
Faster TG550 Delta Shaped Low Latency Gaming+Music TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-tg550-delta-shaped-low-latency-gaming-music-tws-wireless-earbuds,5549,No,No,No,V5.3,Dual,No,No
Lenovo XT95 Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-xt95-pro-wireless-earbuds,3099,No,Yes,Type-C,V5.0,Yes,No,No
Ronin R-460 Earbuds ENC,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-460-earbuds-enc,4299,No,No,No,V5.3,Yes,No,No
Ronin R-140 Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-140-earbuds,4949,Yes,No,No,v5.3,Quad Mic ENC Function,37*2mAh,500mAh
JBL Headset T720BT Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-headset-t720bt-wireless-headphones,14799,No,Yes,Type-C,V5.3,Yes,30 mAh,No
Tangle-Free Experience,https://priceoye.pk/wireless-earbuds/ansty/ansty-sports-wireless-neckband-m-01,2399,No,No,No,v5.0,Yes,No,No
HOTTU Neckband (NB10),https://priceoye.pk/wireless-earbuds/hottu/hottu-neckband-nb10,2149,No,Yes,No,v5.0,Yes,No,300mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Airpods Pro,https://priceoye.pk/wireless-earbuds/assorted/apple-airpods-pro-master-copy,2299,No,No,No,V5.1,Yes,No,No
